EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
20,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.02,16,16,500,279.924,0.7842656331233955,0.36114297010755003,0.006838183847355124
21,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,50,82.454,-0.7560971843138117,0.00685384392546341,0.6801501890646486
22,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,100,170.034,-0.9470071409856751,0.042140235325004195,0.624885184199406
23,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,150,216.412,-0.4710278277808349,0.14307912097753947,0.3376589628305887
24,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,200,249.604,0.10335241570697022,0.18568517133489604,0.13373620547444992
25,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,250,266.098,0.37850750616220274,0.15886267636833912,0.05153041376066865
26,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,300,261.59,0.5290761937111369,0.11911992242329185,0.03708858800912176
27,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,350,263.764,0.5724796627954768,0.10442035381657683,0.036383317362480815
28,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,400,261.33,0.5792674460878583,0.09866013385948784,0.02800941400491583
29,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.25,0,0,450,263.566,0.5656776350751257,0.10803779631719199,0.023190107528427456
