EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,20,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.02,0,0,100,44.832,0.10372511854992761,0.1342704342524408,0.0008703147930864219
2,20,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.25,0,0,100,49.37,0.10393929030044455,0.17348042385827828,0.021332480571335244
3,20,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.5,0,0,100,49.394,0.15349527057060394,0.27082182212705425,0.1523749896744599
4,20,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.75,0,0,100,42.72,0.2372346151821423,0.4147640249670782,0.3551829999230651
5,20,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,1,0,0,100,36.792,0.2888801815352889,0.5276434509612826,0.5179090114943334
