EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.02,0,0,500,241.206,0.5904795923208976,0.11576885740206254,0.0001659823690412503
2,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.33,0,0,500,272.304,0.6307922610838906,0.17221847468231738,0.03854608746128164
3,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.67,0,0,500,269.044,0.7280472834160158,0.30617519250092706,0.24174535794867688
4,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,1,0,0,500,250.466,0.8144241693997988,0.4045768055247888,0.4131991786997659
