EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0,0,0,500,243.426,0.5868215159282846,0.11918951416003552,0.0008
2,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0.05,0,0,500,254.312,0.7283230606125185,0.3360457848878664,0.04266666666666664
3,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0.1,0,0,500,248.796,0.8005854484806952,0.3938296543202434,0.09599999999999978
4,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0.15,0,0,500,237.512,0.851043758531813,0.4069588596841772,0.11733333333333304
5,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0.2,0,0,500,227.928,0.8750296701803149,0.42428104821957097,0.16888888888888842
6,10,500,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cae8>,<function epsilongreedy_strategy at 0x10071cb70>,<function belief_with_latency_and_memory at 0x10071c9d8>,0,0.25,0,0,500,211.482,0.8986916036513741,0.43273723592230146,0.2088888888888883
