EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,20,2000,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.02,0,0,2000,1020.144,0.0861315327724671,0.13200673995158912,1.4674082655818932e-07
2,20,2000,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.25,0,0,2000,1222.43,0.15119878740162312,0.20826796576457646,0.019392320219481847
3,20,2000,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.5,0,0,2000,1348.652,0.3207128583812991,0.48123701902788446,0.2418761453844155
4,20,2000,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.75,0,0,2000,1278.162,0.528727713409789,0.7455501115163403,0.4526358947522988
5,20,2000,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,1,0,0,2000,1170.02,0.6905695155914192,0.9038770327941029,0.5851671227540256
