EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,5,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.02,0,0,100,36.698,0.8268647737286093,0.08696898883427741,0.002007322640523622
2,5,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.25,0,0,100,39.29,0.8287172077826962,0.09831681315486178,0.012538015571774839
3,5,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.5,0,0,100,40.228,0.849715345101184,0.12537821710149477,0.07969159048678552
4,5,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.75,0,0,100,39.102,0.8709860214736279,0.15157524430844413,0.17201024477812998
5,5,100,<function betadist_payoff at 0x10071c378>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,1,0,0,100,34.02,0.8940380665733647,0.16603753425206952,0.25788365351338316
