EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function uniform_payoff at 0x10071c2f0>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.02,0,0,500,318.502,0.33469804956700067,0.15371397739257314,1.5420567292330212e-05
2,10,500,<function uniform_payoff at 0x10071c2f0>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.25,0,0,500,340.95,0.35860261499669777,0.17864401406819966,0.005329801218592746
3,10,500,<function uniform_payoff at 0x10071c2f0>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.5,0,0,500,362.832,0.4540076093710905,0.26915172655971,0.07355646077745089
4,10,500,<function uniform_payoff at 0x10071c2f0>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,0.75,0,0,500,359.744,0.6234207693313156,0.4159096317597101,0.2584154999273212
5,10,500,<function uniform_payoff at 0x10071c2f0>,<function randomshock at 0x10071cc80>,<function softmax_strategy at 0x10071cae8>,<function belief_with_latency_and_memory at 0x10071c8c8>,0,1,0,0,500,336.968,0.7435427356364052,0.515722647584482,0.39723838506583237
