EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.02,0,0,100,36.698,0.8268647737286093,0.08696898883427741,0.002007322640523622
2,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.25,0,0,100,39.29,0.8287172077826962,0.09831681315486178,0.012538015571774839
3,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.5,0,0,100,40.228,0.849715345101184,0.12537821710149477,0.07969159048678552
4,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.75,0,0,100,39.102,0.8709860214736279,0.15157524430844413,0.17201024477812998
5,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,1,0,0,100,34.02,0.8940380665733647,0.16603753425206952,0.25788365351338316
6,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.02,0,0,100,35.232,0.797159487245364,0.08644844206772558,0.0013800795575361574
7,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.25,0,0,100,36.226,0.8046278852586287,0.09347326290561261,0.022551023818224436
8,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.5,0,0,100,36.608,0.8252138816466409,0.11647259297423238,0.09011018439149257
9,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.75,0,0,100,33.906,0.8448345600709928,0.14046051863987952,0.18570235667461246
10,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,1,0,0,100,33.096,0.8519329880470601,0.16364490356200256,0.27342109885818167
11,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.02,0,0,100,31.618,0.7900527265370118,0.07914603171178766,0.0011550352423536437
12,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.25,0,0,100,30.994,0.7964976746134433,0.08572643739495674,0.027143729755606784
13,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.5,0,0,100,35.55,0.8043541297037784,0.11575332277613214,0.09368579992056301
14,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.75,0,0,100,33.36,0.8144149550529471,0.14170382793798764,0.19004342484742778
15,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,1,0,0,100,32.088,0.829226450776817,0.15976780156967024,0.29199259657561444
16,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.02,0,0,100,26.76,0.7578351722091718,0.07266664767026891,0.003280817385288815
17,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.25,0,0,100,28.942,0.759589875458707,0.08533230108644374,0.027779096857526882
18,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.5,0,0,100,30.038,0.75686801196351,0.10789220462710063,0.10090543613626919
19,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.75,0,0,100,28.412,0.7732912697306792,0.13194877689381332,0.21400395647610695
20,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,1,0,0,100,28.796,0.7867271584177513,0.14955300024038815,0.31144401762880913
21,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.02,0,0,100,22.21,0.7196441597017587,0.0627911781216303,0.004636343602517817
22,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.25,0,0,100,26.206,0.7169898240152384,0.0825127362055985,0.030543558505332705
23,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.5,0,0,100,26.698,0.7069508592169647,0.10093442613352116,0.12044037264484285
24,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.75,0,0,100,25.538,0.7265649744255139,0.12275495832059789,0.21988730542875118
25,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,1,0,0,100,23.284,0.7111664138995979,0.13643430905979004,0.3178746994092562
26,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.02,0,0,100,14.828,0.7041539849753783,0.0540845102650482,0.008736026117273806
27,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.25,0,0,100,17.828,0.6948030746353125,0.06628737764449932,0.048919581681189775
28,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.5,0,0,100,18.894,0.6951477474717698,0.09217623541085629,0.151473665837344
29,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.75,0,0,100,17.772,0.6858897382603811,0.107452207654892,0.26083250803833324
30,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,1,0,0,100,18.24,0.682823659923149,0.11620292751152886,0.3624290752641642
31,5,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.02,0,0,100,8.94,0.6971108428999351,0.04337241347383962,0.01116396588176459
