EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.02,0,0,500,238.212,0.5838540480529285,0.11626567338047439,3.747931937148541e-05
2,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.33,0,0,500,274.888,0.6287584856990618,0.17365750167998295,0.03686315984133314
3,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.67,0,0,500,277.64,0.7242896226968392,0.31008113838676965,0.24430554174000801
4,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,1,0,0,500,248.406,0.814997653960183,0.4024711457341688,0.4194240520244935
5,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.02,0,0,500,168.55,0.4749695774840464,0.09516647876820802,0.0022834926034527104
6,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.33,0,0,500,208.518,0.4806193449620045,0.1587731716516278,0.07620926069702905
7,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.67,0,0,500,217.81,0.481088935784988,0.2804785649943465,0.28021590812046016
8,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,1,0,0,500,192.284,0.55598771732426,0.346583976867591,0.45590960785087564
9,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.02,0,0,500,131.568,0.4469314110127726,0.0860636175409811,0.007736251770684196
10,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.33,0,0,500,177.078,0.4278888307618797,0.15228541786392,0.09162571605043492
11,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.67,0,0,500,182.82,0.4083446476487932,0.2561936449193094,0.3070865469016139
12,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,1,0,0,500,163.82,0.43018306150596375,0.3108165538219318,0.4779770741747057
