EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
20,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.05,0,0,500,126.406,0.36230404171288094,0.2048352523046207,0.04202777777777775
21,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.1,0,0,500,129.946,0.3937668156097519,0.21912811381757338,0.09522222222222201
22,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.15,0,0,500,125.378,0.4027007926807214,0.2056294952627394,0.12644444444444414
23,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.2,0,0,500,121.774,0.4303804539943352,0.20356327020325446,0.17648611111111062
24,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.25,0,0,500,113.854,0.43767805433915674,0.1997830193683975,0.2529444444444437
25,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0,0,0,500,63.708,0.4144792205469309,0.0670559583899529,0.007441269841269841
26,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.05,0,0,500,92.478,0.34944341241158644,0.16843326671199935,0.048555555555555505
27,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.1,0,0,500,93.1,0.3691554654971821,0.16856890963645177,0.08215277777777763
28,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.15,0,0,500,92.854,0.39681359029688035,0.16426584873122008,0.13783333333333297
29,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.2,0,0,500,89.856,0.405063469330511,0.1522095271756759,0.1872361111111106
30,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.25,0,0,500,85.482,0.42243031221006744,0.1467491874124872,0.23033333333333267
31,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0,0,0,500,40.59,0.39712498952367664,0.05862042721953136,0.002823809523809524
32,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.05,0,0,500,62.244,0.3635721215848136,0.1360967603631665,0.04755555555555552
33,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.1,0,0,500,65.98,0.37188083416875395,0.13328255578455403,0.08887499999999983
34,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.15,0,0,500,65.982,0.3954093736017327,0.13004154441877422,0.13522222222222188
35,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.2,0,0,500,67.138,0.40673150531727204,0.11946161540916854,0.1680972222222218
36,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.25,0,0,500,62.542,0.4164731191165353,0.10710105462538928,0.23572222222222156
37,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0,0,0,500,23.88,0.3694435101214872,0.050657983589282085,0.003288888888888889
38,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.05,0,0,500,41.244,0.35433936217499085,0.11484336709777566,0.038430555555555544
39,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.1,0,0,500,43.482,0.36213980952906777,0.11071151166356458,0.09572222222222201
40,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.15,0,0,500,43.412,0.393893527422814,0.10250284658846018,0.137458333333333
41,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.2,0,0,500,44.306,0.4177585520329613,0.09299577538107877,0.1854722222222217
42,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.25,0,0,500,40.392,0.41654141635234737,0.08302249472058422,0.2278277777777771
43,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0,0,0,500,14.236,0.3655309924771625,0.04648360720963502,0.0008
44,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.05,0,0,500,23.476,0.33311419233824585,0.10314143981809,0.04822222222222218
45,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.1,0,0,500,25.516,0.3654140954036318,0.09695981013708226,0.08669444444444425
46,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.15,0,0,500,27.302,0.4052597449495427,0.08357713402065638,0.14027777777777742
47,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.2,0,0,500,25.96,0.41060948235643374,0.07671147898564631,0.15729166666666625
48,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.32,0.25,0,0,500,23.684,0.43499469131002544,0.06861999112812851,0.22774444444444378
