EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.02,0,0,100,44.794,0.08391509059914214,0.13728560959497466,0.001616194173689794
2,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.25,0,0,100,48.156,0.10432730231669292,0.1678769289351699,0.025144874366391207
3,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.5,0,0,100,49.236,0.15286668437447734,0.27427128716051,0.14585953582011213
4,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.75,0,0,100,43.322,0.23464665119738481,0.41864568851017264,0.35272917146609073
5,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,1,0,0,100,37.024,0.3022695890403199,0.5316879110948428,0.522445711424781
6,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.02,0,0,100,41.542,0.06486122160451194,0.1341370754208847,0.005302398684709355
7,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.25,0,0,100,45.308,0.0709501681808296,0.16930385481311006,0.03026937026320699
8,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.5,0,0,100,45.274,0.10917697438356025,0.26769410289229595,0.16409582092264197
9,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.75,0,0,100,40.78,0.17879875351931993,0.4146043938114644,0.3692571002853908
10,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,1,0,0,100,33.424,0.19306577727237045,0.5183632323662254,0.5321204125316334
11,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.02,0,0,100,39.034,0.03205826337737125,0.12455284754047811,0.0066546843000418856
12,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.25,0,0,100,42.372,0.039027646051462354,0.16142805437232305,0.03664114382546064
13,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.5,0,0,100,43.754,0.0721853664474339,0.2703540258825519,0.16671480824546736
14,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.75,0,0,100,39.868,0.11553012272934778,0.40059521155048267,0.3729833817930414
15,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,1,0,0,100,32.534,0.13661491605901607,0.5053135618423243,0.5329991297376834
16,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.02,0,0,100,35.592,0.0021540328786814234,0.12059883979293295,0.01276843162057742
17,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.25,0,0,100,37.218,-0.0026723687250758727,0.16146959475790124,0.04519461764953201
18,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.5,0,0,100,38.566,-0.0006733522824556926,0.26028563867767995,0.20817615476582188
19,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.75,0,0,100,34.724,-0.0008842102936492165,0.3884032867228425,0.3964049551866318
20,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,1,0,0,100,29.004,0.00018911971943518836,0.4826195145869728,0.5521960220247597
21,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.02,0,0,100,27.364,-0.05162759506421468,0.11421885825233673,0.01628255213664713
22,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.25,0,0,100,31.284,-0.03927983821975415,0.15196628703535597,0.07414334851924387
23,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.5,0,0,100,33.904,-0.10055258139056147,0.2589724367806173,0.22950868639317648
24,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.75,0,0,100,29.496,-0.1291492651927868,0.3726571159821136,0.43794737834265834
25,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,1,0,0,100,24.056,-0.11777272923565535,0.4526462952380329,0.57258485282943
26,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.02,0,0,100,19.952,-0.09759614115334472,0.11021551011446162,0.020971843549174033
27,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.25,0,0,100,24.208,-0.10353479590865343,0.15437073758461425,0.09684614100078326
28,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.5,0,0,100,25.884,-0.17230098428513146,0.2481882274379522,0.282668275235931
29,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.75,0,0,100,22.658,-0.22143925946838758,0.3490100969307898,0.47296805974254763
30,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,1,0,0,100,17.154,-0.2596381654042584,0.4136873653305567,0.6122434341537587
31,20,100,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.16,0.02,0,0,100,13.218,-0.09899824671991295,0.10428835079855199,0.027310408289852952
